Authors,Title,year,Abstract,Keywords
"Ahmed J,Green II RC",Predicting severely imbalanced data disk drive failures with machine learning models,2022,"Datasets related to hard drive failure, particularly BackBlaze Hard Drive Data, have been widely studied in the literature using many statistical, machine learning, and deep learning techniques. These datasets are severely imbalanced due to the presence of a small number of failed drives compared to huge amounts of healthy drives in the operational data centers. It is challenging to mitigate the adverse consequence of the class imbalance due to the presence of bias towards the majority class during learning. SMART (self monitoring analysis and reporting technology) attributes of the disk drives were utilized in the past to design standard classification or regression algorithms. Although few machine learning (ML) models, for instance, tree based methods and ensemble learning algorithms, addressed the failure prediction, the effects of class imbalance were rarely properly considered under the ML framework. This study, based on a review of the state-of-the-art in the area, evaluates current methodologies to identify areas that were either overlooked or lacking, proposes methods for remediating these issues, and performs some baseline experiments to demonstrate the proposed methodologies including data sampling techniques and cost-sensitive learning.","Machine learning, Cost-sensitive learning, Class imbalance, Predictive maintenance (PdM)"
Kamath C,"Intelligent sampling for surrogate modeling, hyperparameter optimization, and data analysis",2022,"Sampling techniques are used in many fields, including design of experiments, image processing, and graphics. The techniques in each field are designed to meet the constraints specific to that field such as uniform coverage of the range of each dimension or random samples that are at least a certain distance apart from each other. When an application imposes new constraints, for example, by requiring samples in a non-rectangular domain or the addition of new samples to an existing set, a common solution is to modify the algorithm currently in use, often with less than satisfactory results. As an alternative, we propose the concept of intelligent sampling, where we devise solutions specifically tailored to meet our sampling needs, either by improving existing algorithms or by modifying suitable algorithms from other fields. Surprisingly, both qualitative and quantitative comparisons indicate that some relatively simple algorithms can be easily modified to meet the many sampling requirements of surrogate modeling, hyperparameter optimization, and data analysis; these algorithms outperform their more sophisticated counterparts currently in use, resulting in better use of time and computer resources.","Sampling, Space filling, Surrogate modeling, Hyperparameter optimization, Data analysis"
"Casola S,Lauriola I,Lavelli A",Pre-trained transformers: an empirical comparison,2022,"Pre-trained transformers have rapidly become very popular in the Natural Language Processing (NLP) community, surpassing the previous state of the art in a wide variety of tasks. While their effectiveness is indisputable, these methods are expensive to fine-tune on the target domain due to the high number of hyper-parameters; this aspect significantly affects the model selection phase and the reliability of the experimental assessment. This paper serves a double purpose: we first describe five popular transformer models and survey their typical use in previous literature, focusing on reproducibility; then, we perform comparisons in a controlled environment over a wide range of NLP tasks. Our analysis reveals that only a minority of recent NLP papers that use pre-trained transformers reported multiple runs (20%), standard deviation or statistical significance (10%), and other crucial information, seriously hurting replicability and reproducibility. Through a vast empirical comparison on real-world datasets and benchmarks, we also show how the hyper-parameters and the initial seed impact results, and highlight the low models’ robustness.","Natural Language Processing, Deep Neural Networks, Transformer models, Pre-training, Reproducibility, Survey"
"Campbell TW,Roder H,Georgantas III RW,Roder J",Exact Shapley values for local and model-true explanations of decision tree ensembles,2022,"Additive feature explanations using Shapley values have become popular for providing transparency into the relative importance of each feature to an individual prediction of a machine learning model. While Shapley values provide a unique additive feature attribution in cooperative game theory, the Shapley values that can be generated for even a single machine learning model are far from unique, with theoretical and implementational decisions affecting the resulting attributions. Here, we consider the application of Shapley values for explaining decision tree ensembles and present a novel approach to Shapley value-based feature attribution that can be applied to random forests and boosted decision trees. This new method provides attributions that accurately reflect details of the model prediction algorithm for individual instances, while being computationally competitive with one of the most widely used current methods. We explain the theoretical differences between the standard and novel approaches and compare their performance using synthetic and real data.","Explainability, Shapley values, Machine learning, Interpretability, Decision trees"
"Chetouane N,Wotawa F",On the application of clustering for extracting driving scenarios from vehicle data,2022,"If we want to extract test cases from driving data for the purpose of testing vehicles, we want to avoid using similar test cases. In this paper, we focus on this topic. We provide a method for extracting driving episodes from data utilizing clustering algorithms. This method starts with clustering driving data. Afterward, data points representing time-ordered sequences are obtained from the cluster forming a driving episode. Besides outlying the foundations, we present the results of an experimental evaluation where we considered six different clustering algorithms and available driving data from three German cities. To evaluate the cluster quality, we utilize three cluster validity metrics. In addition, we introduce a measure for the quality of extracted episodes relying on the Pearson coefficient. Experimental evaluation showed that the Pearson coefficient can rank clustering algorithms better than the three cluster validity metrics. We can extract meaningful episodes from driving data using any clustering algorithm considering four to eight clusters. Combining k-means clustering with auto-encoders leads to the best Pearson correlation. SOM is the slowest clustering method, and Canopy is the fastest.","Clustering for information extraction, Driving data extraction, Experimental evaluation, Comparison of clustering algorithms"
"Arend D,Yuwono S,Diprasetya MR,Schwung A",MLPro 1.0 - Standardized reinforcement learning and game theory in Python,2022,"Nowadays there are numerous powerful software packages available for most areas of machine learning (ML). These can be roughly divided into frameworks that solve detailed aspects of ML and those that pursue holistic approaches for one or two learning paradigms. For the implementation of own ML applications, several packages often have to be involved and integrated through individual coding. The latter aspect in particular makes it difficult for newcomers to get started. It also makes a comparison with other works difficult, if not impossible. Especially in the area of reinforcement learning (RL), there is a lack of frameworks that fully implement the current concepts up to multi-agents (MARL) and model-based agents (MBRL). For the related field of game theory (GT), there are hardly any packages available that aim to solve real-world applications. Here we would like to make a contribution and propose the new framework MLPro, which is designed for the holistic realization of hybrid ML applications across all learning paradigms. This is made possible by an additional base layer in which the fundamentals of ML (interaction, adaptation, training, hyperparameter optimization) are defined on an abstract level. In contrast, concrete learning paradigms are implemented in higher sub-frameworks that build on the conventions of this additional base layer. This ensures a high degree of standardization and functional recombinability. Proven concepts and algorithms of existing frameworks can still be used. The first version of MLPro includes sub-frameworks for RL and cooperative GT.","Machine learning, Reinforcement learning, Game theory, Automation, Scientific software development, Python"
"Chen L,Zhu H",Behavior prediction based on a Commodity Utility-Behavior Sequence model,2022,"With the rise of social e-commerce and live broadcast e-commerce, real-time recommendations based on consumers’ browsing behavior are becoming more and more important. Traditional utility recommendation has some problems such as cold start and subjectivity. And traditional sequential recommendation relies on behavior sequences. However, these data contain some irrelevant data of products, which will lead to wrong dependencies and affect the accuracy of recommendation. To solve such problems, this research builds a Commodity Utility-Behavior Sequence (CUBS) dual-utility model. CUBS consists of two models: Commodity Utility (CU) and Behavior Sequence (BS). The Commodity Utility can evaluate the psychological motivation of consumer and transform it into commodity utility. The Behavior Sequence can predict preference by calculating the behavior sequences. CUBS combines the advantages of the Commodity Utility and Behavior Sequence. At the same time, it makes up for the shortcomings of only using a single model. A total of 22,417 records of 214 customers are randomly selected from the JD.com database as the test set. These customers are divided into 4 groups and calculated by CU, BS and CUBS respectively. The results show that the accuracy of CUBS model is the highest. This also confirms that customers’ click behaviors and behavior sequences have an important influence on purchase intention prediction.","Commodity utility, Behavior sequence, Implicit feedback, Behavior prediction"
"Timilsina M,Tandan M,Nováček V",Machine learning approaches for predicting the onset time of the adverse drug events in oncology,2022,"Predicting the onset time of adverse drug events can substantially lessen the negative impact on the prognosis of cancer patients who are often subject of aggressive and highly toxic treatment regimens. However, the laboratory verification of each patient case to study the mechanics of adverse drug events requires costly, time-intensive research. Thus, to alleviate the efforts required to tackle this problem, using computational models is highly desirable. To provide a suite of such applicable models, we used openly available adverse drug event data resources called FAERS and explored various machine learning paradigms to assess their performance in predicting adverse effect onset days (since the beginning of the treatment). Among various machine learning approaches, we observed that the graph-based embedding model, particularly ComplEx, performed better than other, more traditional machine learning approaches. The embedding learned from the ComplEX trained with k-NN regression for the downstream predictive task obtained the lowest root mean square error, which we consider very promising for further research.","Regression, Onset, Drugs, Supervised, Embedding"
"Suha SA,Sanam TF",A deep convolutional neural network-based approach for detecting burn severity from skin burn images,2022,"Burns being one of the leading causes of clinically significant morbidity can lead to a dramatic physiological reaction with prolonged repercussions, metabolic disturbance, severe scarring, catastrophic organ failure, and death if not properly treated. Appropriate burn treatment management is associated with the severity of burn wounds which can be extremely challenging to anticipate at an early stage due to various factors using traditional clinical methods. Therefore, this study proposed a Deep Convolutional Neural Network (DCNN) based approach for detecting the severity of burn injury utilizing real-time images of skin burns. The DCNN architecture leverage the utilization of transfer learning with fine tuning employing three types of pretrained models on top of multiple convolutional layers with hyperparameter tuning for feature extraction from the images and then a fully connected feed forward neural network to classify the images into three categories according to their burn severity : first, second and third degree burns. In order to validate the efficacy of the suggested strategy, the study also applies a traditional solution to mitigate this multi-class categorization problem, incorporating rigorous digital image processing steps with several conventional machine learning classifiers and then conducts a comparative performance assessment. The study’s findings demonstrate that using pretrained models, the recommended DCNN model has gained significantly greater accuracy, with the highest accuracy being obtained using the VGG16 pretrained model for transfer learning with an accuracy of 95.63% . Thus, through the use of intelligent technologies, the proposed DCNN-based technique can aid healthcare practitioners in evaluating the burn damage condition and providing appropriate treatments in the shortest feasible time, remarkably reducing the unfavorable consequences of burns.","Burn severity, Deep convolutional neural network, Transfer learning, Feature extraction, Image classification"
"Terao H,Noguchi W,Iizuka H,Yamamoto M",Compressed video ensemble based pseudo-labeling for semi-supervised action recognition,2022,"Some recent studies have focused on deep learning based semi-supervised learning for action recognition. However, it is difficult to scale up their training because their input is RGB frames, the obtainment of which incurs computational and storage costs. In this paper, we propose a semi-supervised action recognition method that makes it easy to scale up the training by using features stored in compressed videos. Our method directly extracts multiple types of input features from compressed videos without any decoding and generates artificial labels of unlabeled videos through the ensembling of the predictions from these features. In addition to the standard supervised training on labeled videos, our models are trained to predict the artificial labels from strongly augmented features in unlabeled compressed videos. We show that our method is more efficient and achieves a better classification performance on some widely used datasets than conventional semi-supervised learning methods applying RGB frames.","Action recognition, Compressed video action recognition, Semi-supervised learning, Pseudo labeling"
"Wenger K,Tirdad K,Dela Cruz A,Mari A,Basheer M,Kuk C,van Rhijn BW,Zlotta AR,van der Kwast TH,Sadeghian A",A semi-supervised learning approach for bladder cancer grading,2022,"Recent advances in semi-supervised learning algorithms (SSL) have made great strides in reducing the training dependency on labeled datasets and requiring that only a subset of the data be labeled. The presented work explores a class of semi-supervised learning algorithms that uses consistency regularization and self-ensembling to leverage the unlabeled portion of the dataset. Labeling medical image datasets are time-consuming and prohibitively expensive, requiring hundreds of hours of effort from expert diagnosticians. This research presents an approach for building and training a deep learning model to grade medical images while requiring only a minimal number of labels. Consistency regularization has been used in SSL to great success in datasets of natural images but not for more complex images such as pathology slides where the dataset consists of cell patterns. This research successfully proposes and applies an SSL algorithm based on the VGG-16 neural network, which combines techniques introduced by the Π model and FixMatch algorithms to a cell pattern-based pathology image dataset. The results presented in this research show that using the proposed approach, it is possible to label only 3% of the samples in a dataset, use the remaining 97% of samples as unlabeled data, and achieve a 19% increase over the baseline accuracy. The second contribution of this research shows a ratio of labeled vs. unlabeled images in a dataset beyond which continuing to label the data increases the cost but offers little performance gains.","Artificial intelligence, Deep learning, Semi-supervised learning, Pathology, Medical digital imaging"
"Klein J,Bhulai S,Hoogendoorn M,van der Mei R",Jasmine: A new Active Learning approach to combat cybercrime,2022,"One of the reasons that the deployment of network intrusion detection methods falls short is the lack of realistic labeled datasets, which makes it challenging to develop and compare techniques. It is caused by the large amounts of effort that it takes for a cyber expert to classify network connections. This has raised the need for methods that learn from both labeled and unlabeled data which observations are best to present to the human expert. Hence, Active Learning (AL) methods are of interest. In this paper, we propose a new hybrid AL method called Jasmine. Firstly, it uses the uncertainty score and anomaly score to determine how suitable each observation is for querying, i.e., how likely it is to enhance classification. Secondly, Jasmine introduces dynamic updating. This allows the model to adjust the balance between querying uncertain, anomalous and randomly selected observations. To this end, Jasmine is able to learn the best query strategy during the labeling process. This is in contrast to the other AL methods in cybersecurity that all have static, predetermined query functions. We show that dynamic updating, and therefore Jasmine, is able to consistently obtain good and more robust results than querying only uncertainties, only anomalies or a fixed combination of the two.","Active Learning, Dynamic query function, Network intrusion detection, Human oracle, Partially labeled"
"Ren Z,Qian K,Dong F,Dai Z,Nejdl W,Yamamoto Y,Schuller BW",Deep attention-based neural networks for explainable heart sound classification,2022,"Cardiovascular diseases are the leading cause of death and severely threaten human health in daily life. There have been dramatically increasing demands from both the clinical practice and the smart home application for monitoring the heart status of individuals suffering from chronic cardiovascular diseases. However, experienced physicians who can perform efficient auscultation are still lacking in terms of number. Automatic heart sound classification leveraging the power of advanced signal processing and deep learning technologies has shown encouraging results. Nevertheless, a lack of explanation for deep neural networks is a limitation for the applications of automatic heart sound classification. To this end, we propose explaining deep neural networks for heart sound classification with an attention mechanism. We evaluate the proposed approach on the heart sounds shenzhen corpus. Our approach achieves an unweighted average recall of 51.2% for classifying three categories of heart sounds, i.e., normal, mild, and moderate/severe. The experimental results also demonstrate that the global attention pooling layer improves the performance of the learnt representations by estimating the contribution of each unit in high-level features. We further analyse the deep neural networks by visualising the attention tensors.","Computer audition, Heart sound classification, Sensor signal processing, Digital health"
"Mostafa N,Ramadan HS,Elfarouk O",Renewable energy management in smart grids by using big data analytics and machine learning,2022,"The application of big data in the energy sector is considered as one of the main elements of Energy Internet. Crucial and promising challenges exist especially with the integration of renewable energy sources and smart grids. The ability to collect data and to properly use it for better decision-making is a key feature; in this work, the benefits and challenges of implementing big data analytics for renewable energy power stations are addressed. A framework was developed for the potential implementation of big data analytics for smart grids and renewable energy power utilities. A five-step approach is proposed for predicting the smart grid stability by using five different machine learning methods. Data from a decentralized smart grid data system consisting of 60,000 instances and 12 attributes was used to predict the stability of the system through three different machine learning methods. The results of fitting the penalized linear regression model show an accuracy of 96% for the model implemented using 70% of the data as a training set. Using the random forest tree model has shown 84% accuracy, and the decision tree model has shown 78% accuracy. Both the convolutional neural network model and the gradient boosted decision tree model yielded 87% for the classification model. The main limitation of this work is that the amount of data available in the dataset is considered relatively small for big data analytics; however the cloud computing and real-time event analysis provided was suitable for big data analytics framework. Future research should include bigger datasets with variety of renewable energy sources and demand across more countries.","Energy internet, Renewable energy, Smart grid, Big data analytics, Machine learning, Predictive models"
"Temraz M,Keane MT",Solving the class imbalance problem using a counterfactual method for data augmentation,2022,"Learning from class imbalanced datasets poses challenges for many machine learning algorithms. Many real-world domains are, by definition, class imbalanced by virtue of having a majority class that naturally has many more instances than its minority class (e.g., genuine bank transactions occur much more often than fraudulent ones). Many methods have been proposed to solve the class imbalance problem, among the most popular being oversampling techniques (such as SMOTE). These methods generate synthetic instances in the minority class, to balance the dataset, performing data augmentations that improve the performance of predictive machine learning (ML). In this paper, we advance a novel, data augmentation method (adapted from eXplainable AI), that generates synthetic, counterfactual instances in the minority class. Unlike other oversampling techniques, this method adaptively combines existing instances from the dataset, using actual feature-values rather than interpolating values between instances. Several experiments using four different classifiers and 25 datasets involving binary classes are reported, which show that this Counterfactual Augmentation (CFA) method generates useful synthetic datapoints in the minority class. The experiments also show that CFA is competitive with many other oversampling methods, many of which are variants of SMOTE. The basis for CFA’s performance is discussed, along with the conditions under which it is likely to perform better or worse in future tests.","Counterfactual, Class imbalance problem, Data augmentation, XAI"
Nyamawe AS,Mining commit messages to enhance software refactorings recommendation: A machine learning approach,2022,"Software refactoring is the common practice that is applied to improve the internal structure of software systems without altering their external behaviors. Software developers sometimes apply refactoring to prepare software systems for further extensions of requirements or adaptation to new requirements often presented as feature requests. However, in such context, identifying where and what type of refactoring to use is very challenging and mostly relies on developer’s intuition and experience. To facilitate refactorings selection during feature requests implementation, existing studies have relied on the past software change history to predict and recommend future refactorings. However, none of these approaches have attempted to exploit the potential of commit messages to drive refactoring recommendation. To this end, this paper proposes a machine-learning approach trained with the past history of previously applied refactorings detected using both traditional refactoring detectors and analysis of commit messages. The approach implements binary classifier to predict the need for refactoring, and a multi-label classifier to recommend required refactorings. The evaluation of the proposed approach based on the dataset comprised of commit messages of 65 open source projects suggest that, the approach significantly outperforms the state-of-the-art approach.","Commit messages, Feature requests, Recommendation, Software refactoring, Machine learning"
"Bhandari HN,Rimal B,Pokhrel NR,Rimal R,Dahal KR,Khatri RK",Predicting stock market index using LSTM,2022,"The rapid advancement in artificial intelligence and machine learning techniques, availability of large-scale data, and increased computational capabilities of the machine opens the door to develop sophisticated methods in predicting stock price. In the meantime, easy access to investment opportunities has made the stock market more complex and volatile than ever. The world is looking for an accurate and reliable predictive model which can capture the market’s highly volatile and nonlinear behavior in a holistic framework. This study uses a long short-term memory (LSTM), a particular neural network architecture, to predict the next-day closing price of the S&P 500 index. A well-balanced combination of nine predictors is carefully constructed under the umbrella of the fundamental market data, macroeconomic data, and technical indicators to capture the behavior of the stock market in a broader sense. Single layer and multilayer LSTM models are developed using the chosen input variables, and their performances are compared using standard assessment metrics–Root Mean Square Error (RMSE), Mean Absolute Percentage Error (MAPE), and Correlation Coefficient (R). The experimental results show that the single layer LSTM model provides a superior fit and high prediction accuracy compared to multilayer LSTM models.","Stock market index, LSTM, Prediction, Machine learning, Deep learning, Denoising"
